"pred","best_match","rouge2_score\.rouge2_fmeasure","rouge2_score\.rouge2_precision","rouge2_score\.rouge2_recall","ground_truth","prompt","context","generation"
"How many students are enrolled at the University of Chicago?","How many students enrolled at the College during the spring of 2014?","0.4","0.4444","0.3636","In the fall quarter of 2014, how many students signed up for the college?,In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?,In the fall quarter of 2014, how many students signed up for the university's professional schools?,In the fall quarter of 2014, how many students signed up for the university's  in total?,Who made up 19% of the student body in the 2012 Spring Quarter? ,How many students enrolled at the College during the spring of 2014?,The University enrolled 3,468 students in the College  and how many in it's graduate divisions?,How many students did the University enroll in its five graduate divisions in 2014?,The University enrolled 5,984 students in the College  and how many in its professional schools?,What year did the College have the highest acceptance rate in its history?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the fall quarter of 2014, the University of Chicago enrolled 5,792 students in the College, 3,468 students in its four graduate divisions, 5,984 students in its professional schools, and 15,244 students overall. In the 2012 Spring Quarter, international students comprised almost 19% of the overall study body, over 26% of students were domestic ethnic minorities, and about 44% of enrolled students were female. Admissions to the University of Chicago is highly selective. The middle 50% band of SAT scores for the undergraduate class of 2015, excluding the writing section, was 1420–1530, the average MCAT score for entering students in the Pritzker School of Medicine in 2011 was 36, and the median LSAT score for entering students in the Law School in 2011 was 171. In 2015, the College of the University of Chicago had an acceptance rate of 7.8% for the Class of 2019, the lowest in the college's history.
","In the fall quarter of 2014, the University of Chicago enrolled 5,792 students in the College, 3,468 students in its four graduate divisions, 5,984 students in its professional schools, and 15,244 students overall. In the 2012 Spring Quarter, international students comprised almost 19% of the overall study body, over 26% of students were domestic ethnic minorities, and about 44% of enrolled students were female. Admissions to the University of Chicago is highly selective. The middle 50% band of SAT scores for the undergraduate class of 2015, excluding the writing section, was 1420–1530, the average MCAT score for entering students in the Pritzker School of Medicine in 2011 was 36, and the median LSAT score for entering students in the Law School in 2011 was 171. In 2015, the College of the University of Chicago had an acceptance rate of 7.8% for the Class of 2019, the lowest in the college's history.","Summary:
The University of Chicago is a highly selective university with a diverse student body, a strong commitment to research, and a reputation for academic excellence.
Question:
How many students are enrolled at the University of Chicago?

Context:
The University of Chicago is a private research university in Chicago, Illinois. Founded in 1890, the University of Chicago is one of the world's leading research universities. It has the third largest university library in the United States, with over 11 million volumes. The University of Chicago is one of the founding members of the Association"
"What is the difference between a Model C school and a private school?","After apartheid, what types of schools are referred to as ""Model C"" schools?","0.0833","0.0833","0.0833","After apartheid, what types of schools are referred to as ""Model C"" schools?,How do academic results in former Model C schools compare to other schools?,How do the fees at former Model C schools compare to those at other schools?,What school option were parents of minority children given to convert to?,What was abolished during the apartheid era?,What term is used for schools who accept only black children?,What kind of acedemic results do schools that only accept black children produce?,What do only white children have to pay when they go to school?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the final years of the apartheid era, parents at white government schools were given the option to convert to a ""semi-private"" form called Model C, and many of these schools changed their admissions policies to accept children of other races. Following the transition to democracy, the legal form of ""Model C"" was abolished, however, the term continues to be used to describe government schools formerly reserved for white children.. These schools tend to produce better academic results than government schools formerly reserved for other race groups . Former ""Model C"" schools are not private schools, as they are state-controlled. All schools in South Africa (including both independent schools and public schools) have the right to set compulsory school fees, and formerly model C schools tend to set much higher school fees than other public schools.
","In the final years of the apartheid era, parents at white government schools were given the option to convert to a ""semi-private"" form called Model C, and many of these schools changed their admissions policies to accept children of other races. Following the transition to democracy, the legal form of ""Model C"" was abolished, however, the term continues to be used to describe government schools formerly reserved for white children.. These schools tend to produce better academic results than government schools formerly reserved for other race groups . Former ""Model C"" schools are not private schools, as they are state-controlled. All schools in South Africa (including both independent schools and public schools) have the right to set compulsory school fees, and formerly model C schools tend to set much higher school fees than other public schools.","Summary:
Model C schools are government schools that were formerly reserved for white children, and they tend to produce better academic results than other government schools.
Question:
What is the difference between a Model C school and a private school?

Context:
The term ""feminism"" was coined in the 19th century, and has been used in a range of ways since that time. The term ""feminist"" was used in the 19th century to describe women who supported women's suffrage, and was used in the 20th century to describe women who supported"
"What is the name of the disease that killed two-thirds of the inhabitants of Helsinki?","What percentage of the population of Spain died of the plague in the 17th century?","0.1379","0.1333","0.1429","How many were killed by plague in Italy in the 17th century?,How many were killed by plague in Naples in 1656?,How many residents of Seville died of plague in 1649?,Who fought in the great Northern war?,When was Europe's last major epidemic?,In what country is Seville located?,What was one of the allies of Russia in the Great Northern War?,What percentage of the population of Spain died of the plague in the 17th century?,What was the population of Stockholm?,In what country is Marseille?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the first half of the 17th century, a plague claimed some 1.7 million victims in Italy, or about 14% of the population. In 1656, the plague killed about half of Naples' 300,000 inhabitants. More than 1.25 million deaths resulted from the extreme incidence of plague in 17th-century Spain. The plague of 1649 probably reduced the population of Seville by half. In 1709–13, a plague epidemic that followed the Great Northern War (1700–21, Sweden v. Russia and allies) killed about 100,000 in Sweden, and 300,000 in Prussia. The plague killed two-thirds of the inhabitants of Helsinki, and claimed a third of Stockholm's population. Europe's last major epidemic occurred in 1720 in Marseille.
","In the first half of the 17th century, a plague claimed some 1.7 million victims in Italy, or about 14% of the population. In 1656, the plague killed about half of Naples' 300,000 inhabitants. More than 1.25 million deaths resulted from the extreme incidence of plague in 17th-century Spain. The plague of 1649 probably reduced the population of Seville by half. In 1709–13, a plague epidemic that followed the Great Northern War (1700–21, Sweden v. Russia and allies) killed about 100,000 in Sweden, and 300,000 in Prussia. The plague killed two-thirds of the inhabitants of Helsinki, and claimed a third of Stockholm's population. Europe's last major epidemic occurred in 1720 in Marseille.","
Summary:
The plague, a devastating disease that has claimed millions of lives throughout history, has had a significant impact on European history.

Question:
What is the name of the disease that killed two-thirds of the inhabitants of Helsinki?

Context:
The first known use of the term ""basketball"" was in 1891 when it was used in a Scribner's Magazine story about a game played between a group of Canadian students at the YMCA Training School in Springfield, Massachusetts. The story stated that ""a new game called 'b"
"What","Who analyzes rock samples from drill cores in the lab? ","0","0","0","Who analyzes rock samples from drill cores in the lab? ,Who dates rocks, precisely, within the stratigraphic section?,Why is it important to precisely date rocks within the stratigraphic section? ,What types of scientists looks for signs of magnetic reversals in igneous rocks within the drill cores?,What do geochronologists analyze fossils from drill cores for?,What do outcrop samples help magnetic stratigraphers to date?,What do biostratigraphers want to understand about past climate?,What do magnetic straitigraphers precisely date?,What do geochronologists look for in drill cores?,What are found in fossils?,What helps scientists to date fossils?,What do Magnetic stratigraphers use isotopes to study?,Where is the stratigraphic section?,What type of studies do Geochronologists perform?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the laboratory, biostratigraphers analyze rock samples from outcrop and drill cores for the fossils found in them. These fossils help scientists to date the core and to understand the depositional environment in which the rock units formed. Geochronologists precisely date rocks within the stratigraphic section in order to provide better absolute bounds on the timing and rates of deposition. Magnetic stratigraphers look for signs of magnetic reversals in igneous rock units within the drill cores. Other scientists perform stable isotope studies on the rocks to gain information about past climate.
","In the laboratory, biostratigraphers analyze rock samples from outcrop and drill cores for the fossils found in them. These fossils help scientists to date the core and to understand the depositional environment in which the rock units formed. Geochronologists precisely date rocks within the stratigraphic section in order to provide better absolute bounds on the timing and rates of deposition. Magnetic stratigraphers look for signs of magnetic reversals in igneous rock units within the drill cores. Other scientists perform stable isotope studies on the rocks to gain information about past climate.","Summary:
Biostratigraphers, geochronologists, and magnetic stratigraphers all use rock samples from outcrop and drill cores to understand the depositional environment in which the rock units formed. Geochronologists precisely date rocks within the stratigraphic section in order to provide better absolute bounds on the timing and rates of deposition. Magnetic stratigraphers look for signs of magnetic reversals in igneous rock units within the drill cores. Other scientists perform stable isotope studies on the rocks to gain information about past climate.
Question:
What"
"What is a stratigraphic section?","What is an example of what is analyzed by computers in the lab?","0.125","0.25","0.0833","The analysis of stratigraphic sections such as drill cores is done by who?,What type of surveys show the location of stratigraphic units in the subsurface?,What can be combined with geophysical data to produce a better view of the subsurface?,What tool do stratigraphers use to see their data in three dimensions?,Stratigraphers try to locate areas for what types of extraction? ,What do computers analyze in the lab?,What is an example of what is analyzed by computers in the lab?,What do drill cores show about water location?,What can drill cores and ancient processes be combined to show?,What do computers use coal to reconstruct?,What are taken from the laboratory into the field?,What shows the location of drill cores?,What computer program allows stratigraphers to view the subsurface in three dimensions?,What are well logs?,What are ancient processes used to do?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores. Stratigraphers also analyze data from geophysical surveys that show the locations of stratigraphic units in the subsurface. Geophysical data and well logs can be combined to produce a better view of the subsurface, and stratigraphers often use computer programs to do this in three dimensions. Stratigraphers can then use these data to reconstruct ancient processes occurring on the surface of the Earth, interpret past environments, and locate areas for water, coal, and hydrocarbon extraction.
","In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores. Stratigraphers also analyze data from geophysical surveys that show the locations of stratigraphic units in the subsurface. Geophysical data and well logs can be combined to produce a better view of the subsurface, and stratigraphers often use computer programs to do this in three dimensions. Stratigraphers can then use these data to reconstruct ancient processes occurring on the surface of the Earth, interpret past environments, and locate areas for water, coal, and hydrocarbon extraction.","Summary:
Stratigraphers use stratigraphic sections and geophysical data to reconstruct ancient processes occurring on the surface of the Earth, interpret past environments, and locate areas for water, coal, and hydrocarbon extraction.
Question:
What is a stratigraphic section?

Context:
The term ""stratigraphy"" was coined by the French geologist Déodat de Dolomieu in 1785. Dolomieu was the first to recognize that sedimentary rocks are deposited in layers, or strata, and that these"
"What is the name of the English chemist who was the first to recognize that air is necessary for combustion?","Who proved that air is necessary for combustion?","0.3846","0.2632","0.7143","Who proved that air is necessary for combustion?,What English chemist showed that fire only needed nitoaereus?,What is consumed in both combustion and respiration?,John Mayow died in what year?,What researcher showed that air is a necessity for combustion?,What did John Mayow  name the part of air that caused combustion?,In what century did Mayow and Boyle perform their experiments?,Besides combustion, for what other action did Mayow show nitroaereus responsible?,What chemist showed that fire needed only a part of air?,What did John Mayow prove that air is necessary for?,What years was chemist John Boyle alive?,When did Robert Mayow prove his theories?,Who refined Robert Mayow's work?,What was the profession of John Boyle?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641–1679) refined this work by showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus. In one experiment he found that placing either a mouse or a lit candle in a closed container over water caused the water to rise and replace one-fourteenth of the air's volume before extinguishing the subjects. From this he surmised that nitroaereus is consumed in both respiration and combustion.
","In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641–1679) refined this work by showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus. In one experiment he found that placing either a mouse or a lit candle in a closed container over water caused the water to rise and replace one-fourteenth of the air's volume before extinguishing the subjects. From this he surmised that nitroaereus is consumed in both respiration and combustion.","
Summary:
John Mayow, an English chemist, was the first to recognize that air is necessary for combustion.

Question:
What is the name of the English chemist who was the first to recognize that air is necessary for combustion?

Context:
The first known use of the word ""computer"" was in 1613 in a book written in Latin and titled _De Vetere Mathematica Pricipiis_. The word was derived from the Latin word _computare_ , which means ""to reckon"" or ""to count.""

Summary:"
"Who discovered oxygen?","""An Account of Further Discoveries in Air"" was published by who in 1775?","0","0","0","""An Account of Further Discoveries in Air"" was published by who in 1775?,What was the occupation of Joseph Priestley?,By sunlight, what compound did  Priestley concentrate on to make the gas he called ""dephlogisticated air""?,The symbol for mercuric oxide is?,What chemical did Priestley use in his experiments on oxygen?,What did Priestley name the gas his experiment produced?,In what year did Priestley publish the findings of his experiments?,Why is Priestley usually given credit for being first to discover oxygen?,What effect did breathing Priestley's discovered gas have on the experiment's mouse?,Who conducted an experiment on August 4, 1774?,What did Joseph Priestley's August 4, 1774 experiment focus on?,What did Priestley publish in 1774?,What did Priestley name the air he created?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.
","In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.","Summary:
Joseph Priestley, a British clergyman, discovered oxygen in 1774, which he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it.
Question:
Who discovered oxygen?

Context:
The first known use of the term ""scientist"" was in 1833 by William Whewell in the Dial, a magazine of philosophy and science. Whewell defined the term as ""a man of science"" and proposed that it"
"What is the name of the bridge of liquid oxygen that is supported against its own weight between the poles of a powerful magnet?","What is attracted to the poles of a powerful magnet?","0.375","0.2609","0.6667","What magnetic character do triplet O2 have?,In experiments, a bridge of what element can be built between poles of a magnet?,The spin of what can produce a magnetic effect to oxygen molecules?,What kind of field is necessary to produce a magnet effect in oxygen molecules?,What device is used to test the magnetic attractions involved in liquid oxygen?,What are O molecules in triplet form?,Why are O molecules paramagnetic?,What is attracted to the poles of a powerful magnet?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In the triplet form, O
2 molecules are paramagnetic. That is, they impart magnetic character to oxygen when it is in the presence of a magnetic field, because of the spin magnetic moments of the unpaired electrons in the molecule, and the negative exchange energy between neighboring O
2 molecules. Liquid oxygen is attracted to a magnet to a sufficient extent that, in laboratory demonstrations, a bridge of liquid oxygen may be supported against its own weight between the poles of a powerful magnet.[c]
","In the triplet form, O
2 molecules are paramagnetic. That is, they impart magnetic character to oxygen when it is in the presence of a magnetic field, because of the spin magnetic moments of the unpaired electrons in the molecule, and the negative exchange energy between neighboring O
2 molecules. Liquid oxygen is attracted to a magnet to a sufficient extent that, in laboratory demonstrations, a bridge of liquid oxygen may be supported against its own weight between the poles of a powerful magnet.[c]","
Summary:
Oxygen is paramagnetic, which means it is attracted to a magnet.

Question:
What is the name of the bridge of liquid oxygen that is supported against its own weight between the poles of a powerful magnet?

Context:
The 2016 Summer Olympics, officially known as the Games of the XXXI Olympiad and commonly known as Rio 2016, was an international multi-sport event that was celebrated in Rio de Janeiro, Brazil, from August 5 to August 21, 2016. The 20"
"What is the bond order of dioxygen?","What is the bond order of dioxygen molecules?","0.9231","1","0.8571","How is dioxygen most simply described?,What is the bond order of dioxygen molecules?,What is a descriptive term for a low-to-high energy bond?,In dioxygen how are the two oxygen atoms bonded together?,Of what does the covalent double bond result from ?,How is the dioxygen covalent bond explained?,What is covalent bond a result of?,What axis do the 2p orbitals overlap with?,How many pairs of 2p orbitals lie along the O-O axis?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.
","In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.","Summary:
Dioxygen is a molecule composed of two oxygen atoms, and is a colorless, odorless, tasteless, flammable gas. It is the most abundant element in the Earth's atmosphere, and is essential to life on Earth.
Question:
What is the bond order of dioxygen?

Context:
The 1990s were a decade of the 1990s.
Summary:
The 1990s were a decade of the 1990s.
Question:
What decade"
"What is the value of  in Newton's Law of Gravitation?","Cavendish's Law of Gravitation states what?","0.375","0.3","0.5","What is used to figure the relative strengh of gravity?,Who made the first to measure value of the Newton Universal Gravitation Constant?,When was the first measurement of the value of the Newton Universal Gravitation Constant?,Who figured out that his law of gravity had to be universal?,What is used to describe the weakness of gravity?,Whose value was know in Newton's life?,Who realized that only some celestial bodies followed the same laws of motion?,Cavendish's Law of Gravitation states what?","Context:
A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.
Summary:
Beyoncé, a modern-day feminist and acclaimed entertainer, has achieved remarkable success as a best-selling artist with numerous awards, including 20 Grammys, and is recognized for her empowering themes, dynamic performances, and significant influence in music and beyond.
Question:
How many Grammy awards has Beyoncé won?

Context:
In this equation, a dimensional constant  is used to describe the relative strength of gravity. This constant has come to be known as Newton's Universal Gravitation Constant, though its value was unknown in Newton's lifetime. Not until 1798 was Henry Cavendish able to make the first measurement of  using a torsion balance; this was widely reported in the press as a measurement of the mass of the Earth since knowing  could allow one to solve for the Earth's mass given the above equation. Newton, however, realized that since all celestial bodies followed the same laws of motion, his law of gravity had to be universal. Succinctly stated, Newton's Law of Gravitation states that the force on a spherical object of mass  due to the gravitational pull of mass  is
","In this equation, a dimensional constant  is used to describe the relative strength of gravity. This constant has come to be known as Newton's Universal Gravitation Constant, though its value was unknown in Newton's lifetime. Not until 1798 was Henry Cavendish able to make the first measurement of  using a torsion balance; this was widely reported in the press as a measurement of the mass of the Earth since knowing  could allow one to solve for the Earth's mass given the above equation. Newton, however, realized that since all celestial bodies followed the same laws of motion, his law of gravity had to be universal. Succinctly stated, Newton's Law of Gravitation states that the force on a spherical object of mass  due to the gravitational pull of mass  is","
$$
\mathbf{F} = \frac{Gm_1m_2}{r^2}
$$

Summary:
Newton's Law of Gravitation states that the force on a spherical object of mass  due to the gravitational pull of mass  is

Question:
What is the value of  in Newton's Law of Gravitation?

Context:
The 1994 Northridge earthquake was a major seismic event that occurred on January 17, 1994, with an epicenter in the San"
